beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 
0.6927258 3.903673 -13.22903 -5.212151 -21.1978 4.44645 
0.09962169 4.037444 -19.2897 -6.011641 -6.330544 2.789553 
-0.1546334 3.950368 -16.22282 -3.721824 -6.431595 4.605681 
-0.2042095 3.974668 -13.53694 -4.806898 19.68392 10.66884 
-0.09475689 3.958151 -17.19296 -4.934791 -1.836555 4.059338 
-0.1708465 3.97676 -13.96435 -4.97746 10.58436 -4.804457 
-0.2620353 3.910702 -12.63846 -6.453036 -5.088777 5.302588 
-0.09222388 4.008194 -13.61223 -8.313885 -15.10008 -5.649487 
-0.08319823 3.980541 -12.94035 -5.905818 -8.756019 -14.27623 
-0.1240214 4.021241 -9.158302 -7.651128 -24.48579 -2.934864 
-0.1187559 3.998923 -10.89304 -4.843866 -20.99447 -12.25881 
-0.1689189 3.979998 -10.48814 -4.511722 -23.88794 -4.738939 
-0.009164641 3.967804 -9.121791 -5.333539 -22.11843 -1.775068 
-0.1208531 3.964702 -8.965051 -6.454277 -16.56196 -9.535928 
0.09206373 3.989652 -9.634754 -5.502135 -19.25249 -2.750924 
0.1131693 3.896078 -10.45226 -6.109899 -16.61529 -6.322277 
0.2215232 3.951678 -8.934705 -4.58496 -21.31167 -5.815051 
-0.0004466251 3.968344 -9.19442 -4.766702 -22.96204 -4.56983 
-0.1819235 3.964456 -8.933411 -5.246242 -22.83734 -4.61337 
-0.1334697 3.943938 -8.6427 -4.939993 -23.92597 -3.204538 
0.08075187 3.991696 -7.107977 -6.39274 -23.56903 -3.816351 
0.6021829 4.011541 -7.665374 -4.939823 -22.55185 -4.696442 
0.06849815 3.985918 -7.549905 -6.52665 -17.56726 -8.044977 
1.463155 3.990136 -9.713136 -5.475929 -12.59147 -6.288213 
-0.1852978 3.923648 -9.169374 -5.864553 -23.99911 -4.007895 
-0.06333491 3.99475 -9.061107 -3.503325 -22.91577 -4.777585 
-0.1389764 4.010693 -8.920311 -4.68328 -22.19033 -6.033893 
-0.03253363 3.920474 -9.858677 -5.564371 -22.98496 -5.047256 
-0.1406199 3.976802 -8.906934 -4.401948 -12.7301 -15.6061 
