Delta_1 Delta_2 Delta_3 
0.001943042 -3.968699 -0.01274717 
0.00742437 -4.794361 0.009865372 
-0.02530623 8.452447 0.004896569 
0.1143819 -0.3004569 -0.01718567 
-0.01715118 -2.921031 -0.009388988 
-0.008837701 1.571137 -0.01626118 
0.04736439 8.05652 -0.01072745 
0.05438725 5.526832 -0.02597889 
-0.08702907 11.22902 0.01507574 
-0.05479851 -9.045362 0.01026265 
-0.01390732 -18.66496 -0.02095602 
-0.078657 5.151866 0.01701426 
-0.000486706 -5.245438 -0.007278379 
-0.09262342 -10.05889 -0.01303014 
-0.07781143 -22.1972 0.02112515 
-0.05559458 -0.1702799 0.005903832 
0.0820149 4.852969 -0.00880234 
0.02637491 -10.84007 -0.00311441 
-0.05180597 1.542069 0.004961995 
-0.004843902 16.96095 0.00768116 
-0.1810478 10.9308 -0.02314568 
0.05041383 -4.471431 -0.03531706 
-0.04427385 -11.90057 -0.007974836 
0.03576798 6.691697 -0.02701564 
0.008180597 -3.225427 0.0277452 
-0.0415711 19.90441 -0.01378126 
-0.05905145 13.73183 0.01452002 
0.1343498 -0.4930075 0.01835825 
-0.01001922 5.415467 0.01402032 
-0.01349778 -9.961619 0.006510857 
-0.06021702 6.084321 -0.003958679 
-0.07113298 -4.897825 -0.02587954 
-0.02237279 7.387832 0.01045187 
0.059327 8.509236 0.02122832 
-0.1842665 5.886957 -0.002350744 
-0.01911896 11.28385 0.02186442 
0.06736194 13.47248 -0.006207441 
-0.08034171 -2.732559 -0.006674825 
-0.06101757 -10.4084 0.01404243 
-0.005994419 -0.1091195 -0.0007252027 
-0.0372236 8.733982 -0.009692155 
-0.008651868 -13.4146 0.01733803 
0.005190985 -7.322483 -0.03126128 
0.01690295 7.698914 -0.01345137 
-0.1122165 -7.43705 -0.01015173 
-0.04858515 1.437254 -0.001020756 
0.07676367 4.121699 -0.007224286 
