"Delta_1" "Delta_2"
-2.913523 3.655766
-3.025194 4.651715
-2.888356 3.46226
-2.895229 5.01644
-2.818642 5.551814
-2.736856 5.417034
-2.877712 5.081432
-3.05159 5.767296
-3.03937 4.880529
-3.081222 5.44083
-2.868935 4.545965
-2.889092 4.393602
-3.10744 4.355965
-2.9957 6.67947
-3.030008 5.976694
-2.934652 4.529927
-2.880044 4.265418
-2.872276 3.856274
-2.961033 5.275179
-3.02872 3.856507
-3.150755 5.239951
-3.095541 6.603864
-3.137988 5.453414
-3.134363 5.756789
-2.981514 5.587941
-3.103 5.436998
-2.967852 4.589222
-2.908156 4.734759
-2.93524 4.464212
-2.947367 4.430803
-3.017978 5.790807
-3.059633 5.347644
-2.923942 4.799134
-3.02028 4.922039
-3.039566 4.469363
-3.142654 5.528403
-3.138751 4.758856
-2.925048 3.791806
-2.810177 4.637447
-2.745146 4.818158
-2.802751 4.387616
-2.803702 3.892449
-2.585455 4.937188
-2.497257 3.666352
-2.483907 4.105619
-2.536635 3.045888
-2.415372 3.613729
-2.542491 4.416677
-2.636694 3.953208
-2.645285 4.038501
-2.754858 4.564294
-2.816771 4.060493
-2.800279 4.492918
-2.879503 4.46047
-2.815812 4.745832
-2.708031 5.657191
-2.827682 5.815384
-2.763067 4.888978
-2.88245 4.681241
-2.891337 4.96741
-2.877086 4.317213
-3.033309 5.320465
-3.06862 5.722374
-3.100637 5.499986
-3.126242 6.454253
-3.119495 4.679869
-3.100087 4.185878
-3.029758 5.404364
-3.09489 4.996196
-3.0979 4.942531
-3.269723 6.012426
-3.120526 6.015773
-3.105522 4.632583
-3.067563 5.293339
-3.045214 5.054981
-2.944355 5.658128
-2.919551 5.146689
-2.83605 5.136445
-2.694258 4.370157
-2.823071 4.19976
-2.93641 4.585027
-2.969936 4.642513
-2.864037 4.14842
-2.853069 4.603785
-2.915577 4.183056
-3.058349 4.781825
-3.018403 4.157649
-3.088906 4.821793
-2.97837 4.629101
-2.92713 4.156676
-3.017156 4.385304
-3.180354 4.793101
-2.972426 5.475882
-3.001978 5.176941
-3.00314 5.617103
-2.951444 4.324852
-2.907549 3.612708
-2.916181 4.839213
-2.957051 5.444193
-3.0516 5.155984
-2.853378 3.881474
-2.771907 4.249644
-2.967281 4.447973
-2.939003 5.402658
-2.681944 5.4707
-2.756431 5.726234
-2.695017 5.502774
-2.897098 5.517903
-2.783696 5.950021
-2.845913 6.070771
-2.900169 6.751812
-2.726582 5.056305
-2.751576 4.441802
-2.64805 4.031665
-2.602429 5.010988
-2.624607 4.467201
-2.661496 4.171342
-2.78769 4.766943
-2.7528 5.006379
-2.777353 5.01232
-2.850236 4.728198
-2.912589 5.930847
-2.785323 4.590038
-2.779433 5.348642
-2.742897 3.8072
-2.791971 4.032289
-2.789845 4.204714
-2.745244 4.603374
-2.671622 4.568547
