beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 beta1_4 beta2_4 
7.870067 20.05067 -0.03161509 1.006114 13.22275 -0.5568028 1.92654 0.0406982 
-2.86584 9.665801 0.1661575 0.9204416 -2.436795 9.485974 1.93055 0.03391324 
21.82955 6.621152 -0.2213013 1.084427 9.280091 14.87614 1.921061 0.0387959 
-12.90792 -5.095869 0.08207075 0.9478413 -9.022755 3.286273 1.86028 0.07013893 
14.61012 9.5198 0.05511321 0.9491683 13.18186 -13.98167 1.954369 0.02356556 
-16.91045 -7.104327 -0.01344199 0.9923438 10.24715 14.1005 1.93781 0.03055057 
-2.547066 10.9944 0.06590351 0.9573617 4.717541 -0.4263246 1.932561 0.03985714 
-17.38162 -16.81436 0.1063786 0.9440291 2.272961 -0.2158584 1.866326 0.06666448 
8.860499 22.41761 0.02289735 0.9713878 1.51903 -1.998849 1.887523 0.05522539 
14.74177 1.674366 0.1929431 0.9089922 13.40908 -3.174 1.849798 0.07107154 
-3.898897 14.90261 -0.02950045 0.9993922 -6.954746 16.74329 1.927737 0.03082018 
-13.95278 5.283255 0.08725669 0.9548664 -7.323479 -11.17976 1.960595 0.02596054 
-16.74904 4.043772 0.08302173 0.9419612 -10.95886 9.725605 1.920001 0.04215599 
6.86956 8.587396 -0.1532692 1.04531 -3.830447 -3.24894 1.900979 0.04847684 
8.207115 -5.205645 0.131771 0.930345 11.01645 6.051662 1.957613 0.02614969 
1.839258 0.8167094 0.1480069 0.9228456 9.327227 -0.304955 1.95796 0.02068012 
9.626706 -20.54521 -0.001012077 0.9884167 -4.473031 -3.161714 1.954871 0.02640126 
-0.8576298 11.20495 0.1423236 0.9284588 -8.84017 -15.92977 1.908282 0.04887461 
19.23857 -2.781997 0.03873545 0.9614915 0.5350425 -12.46766 1.923868 0.03920236 
4.349075 12.54354 -0.08920277 1.021228 8.771119 -17.08652 1.92837 0.04026424 
10.30457 5.556528 0.06128867 0.9437665 0.2885824 4.393051 1.909438 0.04464381 
-2.192094 -19.18264 -0.1358185 1.03679 -7.316795 -11.56257 1.960774 0.02476867 
2.790624 -3.426946 -0.05137427 1.001043 5.024297 7.481014 1.953964 0.02540797 
-11.54169 3.821757 0.007854052 0.9875413 -6.599372 -5.464228 1.936129 0.03063812 
8.484065 5.944723 0.1128772 0.947089 2.215212 -3.876461 1.948368 0.02574352 
14.70405 -5.971622 0.09151038 0.951705 2.388024 -0.4836663 1.932754 0.03518879 
5.003764 -8.313744 0.01797929 0.982468 -4.726259 3.494772 1.894206 0.04703365 
-17.18782 4.370832 0.0299216 0.9755416 -6.460288 2.908371 1.882035 0.06405357 
-2.922818 -13.4532 0.08958356 0.958333 15.56807 16.8174 1.964564 0.02362535 
10.55984 4.878983 0.1679913 0.9000492 -3.872332 -3.496634 1.925546 0.03927013 
7.182283 15.81127 -0.0208557 0.9879227 17.25862 7.877343 1.905252 0.04976336 
8.483129 1.537284 0.04582861 0.9683558 2.151224 -5.573834 1.906985 0.04378595 
9.214515 5.78651 0.01206247 0.9739301 15.49729 7.165003 1.866753 0.06405924 
11.73195 -11.79413 -0.1446327 1.037231 -13.60758 0.7761989 1.9365 0.03198588 
1.970106 3.987363 0.1785304 0.9268169 -8.793406 -1.443438 1.9345 0.03213703 
0.2780014 1.948794 0.1577713 0.9133661 -10.33192 11.18271 1.898162 0.04950615 
2.533225 5.340392 0.1068986 0.9474264 7.749405 -8.238661 1.924844 0.04454381 
-0.8694194 16.89534 -0.05804597 1.018399 -4.971325 11.1989 1.938543 0.03244886 
8.995287 1.287638 0.01070033 0.9773682 -1.982203 8.895942 1.909041 0.04633657 
3.115868 -10.1667 0.06641807 0.9621169 -0.01662905 -8.657111 1.922445 0.04068556 
-11.39193 -9.722416 0.06708135 0.9535618 -4.885845 2.544627 1.869674 0.06628985 
17.80956 18.32828 0.0466629 0.9782865 -12.98975 -5.696521 1.941786 0.03036904 
6.06817 -0.7862675 -0.1359302 1.046158 1.43328 15.0895 1.863964 0.07046838 
-1.153928 -4.234784 0.2008872 0.9097841 5.09428 3.756699 1.920482 0.0419038 
1.99646 16.03328 -0.02340158 0.9888877 9.339679 -9.316247 1.929287 0.03400584 
7.817145 -2.645268 0.07133244 0.957964 0.5724073 -4.418013 1.931781 0.03901929 
-1.331744 -4.407821 -0.07420916 1.012142 -6.689644 -6.101961 1.936483 0.0368835 
13.43886 -8.191005 -0.02772191 0.9997735 5.772512 6.019638 1.93117 0.03454894 
-3.917287 -3.263969 0.07549244 0.9668345 14.31299 -2.380267 1.951854 0.02818315 
9.839092 -5.601337 0.1279722 0.9358644 16.1193 17.20981 1.933194 0.0359973 
-16.80106 -17.80621 0.09015979 0.9477526 15.74937 3.078677 1.914627 0.04323142 
0.2697643 -0.02788974 0.04622608 0.954996 -1.78864 4.707462 1.934339 0.02894799 
-6.478872 7.73303 0.01087943 0.9711885 -4.00337 15.43377 1.875618 0.05990249 
-0.2010394 17.41088 0.0735983 0.9585572 -19.25093 -3.069849 1.932812 0.03307774 
3.280963 3.302183 0.1812019 0.904433 -3.948897 -9.057063 1.910753 0.03938976 
4.786928 -17.76011 0.03989886 0.9833943 -7.920028 4.136712 1.931757 0.03830189 
4.655211 -0.822014 0.06414339 0.9567735 -8.664373 5.756164 1.964377 0.02219634 
11.6887 -6.600463 0.009627814 0.9915094 2.221307 6.359292 1.929852 0.03569412 
6.754977 21.74297 -0.03574468 0.9670137 -19.51119 15.87048 1.917385 0.03995756 
16.31715 13.60259 0.1010435 0.9507908 6.890753 -0.2391447 1.939191 0.03206623 
-8.617784 8.816454 0.2177539 0.8925958 18.94697 -9.370427 1.889381 0.05741138 
-13.44081 -4.479395 -0.002356828 1.002084 -9.618717 -4.428881 1.900871 0.04914163 
8.310654 -0.570443 0.08177639 0.9487009 -14.90336 -20.19977 1.940552 0.02932976 
