"Delta_1" "Delta_2" "Delta_3"
1.232775 -2.088192 -2.919708
1.245651 -2.128066 -3.12696
1.260277 -2.240648 -3.046261
1.234738 -2.299249 -2.675516
1.212149 -2.353498 -2.839385
1.254344 -2.195566 -2.718539
1.209801 -2.299707 -2.844815
1.09539 -2.378941 -3.056362
1.1095 -2.195854 -3.150968
1.16935 -2.266202 -3.05592
1.183306 -2.136504 -2.867307
1.137561 -2.178747 -2.99239
1.150434 -2.049957 -2.639759
1.13208 -2.083614 -2.868533
1.198758 -1.9702 -2.959003
1.101234 -2.176684 -3.09268
1.030236 -2.245197 -3.027863
1.121926 -2.257515 -2.49693
1.138734 -2.250367 -2.739403
1.08406 -2.226077 -2.919359
1.154266 -2.375385 -3.145939
1.134725 -2.419006 -3.026484
1.294348 -2.323259 -3.06774
1.224051 -2.326568 -2.834524
1.205474 -2.271492 -2.999016
1.240133 -2.231435 -2.792375
1.260775 -2.149254 -2.805871
1.241504 -2.184452 -2.917116
1.259145 -2.188741 -3.252652
1.275773 -2.241599 -2.912816
1.316629 -2.204671 -3.079982
1.201584 -2.203684 -2.855185
1.178632 -2.207303 -2.960608
1.289876 -2.165099 -2.873673
1.35709 -2.176273 -3.311896
1.244889 -2.016043 -3.209823
1.239052 -2.098414 -2.992758
1.123152 -2.195303 -2.973169
1.147701 -1.995176 -2.934094
1.191879 -2.054217 -3.210368
1.275802 -1.999504 -3.247954
1.211532 -2.276772 -3.099584
1.087758 -2.267098 -2.998019
1.169119 -2.387064 -3.027174
1.275556 -2.237601 -3.213513
1.203746 -2.332634 -2.962131
1.321593 -2.200227 -2.97834
1.279952 -2.268566 -2.928143
1.202309 -2.321968 -3.071307
1.248096 -2.327694 -2.824763
1.271316 -2.307653 -3.047268
1.318104 -2.241284 -2.887816
1.163668 -2.220587 -2.877145
1.114263 -2.151248 -2.959299
1.161426 -2.167441 -2.590476
1.092316 -2.088409 -2.738357
1.129438 -2.25098 -3.09594
1.155146 -2.107056 -2.905568
1.11168 -2.197493 -2.834742
1.172703 -2.244043 -2.994263
0.9933406 -2.185301 -3.245858
1.162931 -2.164289 -3.133855
1.135043 -2.281697 -2.948752
1.132447 -2.173044 -2.827683
1.159661 -2.197887 -3.061661
1.151304 -2.14644 -2.693393
1.209799 -2.133849 -2.798129
1.175165 -2.40198 -2.894969
1.15007 -2.312039 -2.76186
1.204281 -2.247257 -2.619686
1.114559 -2.150436 -2.958169
1.096791 -1.927247 -2.684491
1.147902 -1.948519 -2.970447
1.110368 -2.051101 -2.872931
1.188198 -2.276543 -2.969215
1.232999 -2.238178 -2.918508
1.227592 -2.189859 -3.036445
1.138988 -2.193272 -2.763014
1.273152 -2.314818 -2.747992
1.224929 -2.234897 -2.908367
1.248984 -2.231847 -2.682752
1.241405 -2.118249 -2.733948
1.234932 -2.214175 -2.791914
1.161508 -2.211811 -2.984143
