p_1 p_2 p_3 p_4 
0.0160026 0.7629745 0.1667019 0.05432093 
0.02231813 0.7550047 0.1719008 0.0507764 
0.02938359 0.7699855 0.1260508 0.0745801 
0.0002390493 0.7712118 0.1409526 0.08759654 
0.008158007 0.7982908 0.1618884 0.03166272 
0.1113434 0.7564124 0.05760927 0.07463492 
0.1044552 0.7478647 0.1316372 0.01604285 
0.03207146 0.7814073 0.1630536 0.02346766 
0.0507062 0.7771222 0.1493106 0.02286097 
0.04177773 0.7040496 0.2387447 0.01542801 
0.05495115 0.8064491 0.1001891 0.0384107 
0.04919549 0.8246716 0.09396276 0.03217011 
0.07538793 0.7528348 0.1517557 0.02002158 
0.005502952 0.7238438 0.2096582 0.060995 
0.03279648 0.8320614 0.1048986 0.03024356 
0.00123581 0.698991 0.2346259 0.0651473 
0.04040314 0.5907861 0.1953746 0.1734362 
0.03076252 0.7546544 0.207712 0.006871031 
0.1156563 0.7842893 0.08489219 0.01516221 
0.080849 0.6684111 0.211385 0.03935484 
0.06981641 0.7623287 0.1302109 0.03764402 
0.04733541 0.846636 0.09883819 0.007190357 
0.1018605 0.7799678 0.09602035 0.0221514 
0.04053858 0.8405808 0.08290715 0.03597349 
0.08701346 0.7395577 0.1364944 0.03693443 
0.03535739 0.8606172 0.06990644 0.034119 
0.05928453 0.7822929 0.1551151 0.003307481 
0.07759689 0.7389288 0.1398625 0.04361177 
0.03950088 0.7991728 0.1230162 0.03831016 
0.07923098 0.7821087 0.1165108 0.02214945 
0.0004628572 0.8456104 0.09248482 0.06144193 
0.01092432 0.7203117 0.1986221 0.07014189 
0.07991845 0.6520936 0.2665822 0.001405711 
0.01338011 0.8465433 0.1348088 0.005267766 
0.03154904 0.8337796 0.09208114 0.04259021 
0.01983904 0.7149177 0.2146856 0.05055766 
0.05346464 0.7997599 0.08848533 0.05829017 
0.0331384 0.7549644 0.1975569 0.01434033 
0.02942264 0.8442567 0.07517239 0.05114824 
0.04446021 0.8176444 0.0004280315 0.1374673 
0.08025212 0.7666731 0.03062418 0.1224506 
0.08465564 0.7800976 0.04090323 0.0943435 
0.1363792 0.8020298 0.002043581 0.05954734 
