"tau2_1" "tau2_2" "tau2_3" "tau2_4"
0.5589824 0.06124815 0.1275826 0.1310828
0.2241672 0.07402019 0.2554518 0.05282419
0.6972726 0.01803337 0.2698885 0.08188689
17.29168 0.07188624 0.1417319 0.07866932
3.136588 0.05156909 0.08357211 0.08440792
148.3303 0.1552292 0.06217629 0.1566386
12.94994 0.04908855 0.03136754 0.1191261
18.46905 0.04025419 0.08153129 0.1595949
0.0929542 0.0233281 0.07366325 0.1447186
507.8462 0.0522651 0.3495118 0.1389851
256.3301 0.03719054 0.2044392 0.1382963
0.1453097 0.02283131 0.3536466 0.1738028
2.893891 0.07864945 0.2131992 0.1331158
5.524585 0.09472549 0.06129121 0.1441573
0.2508063 0.04528121 0.02714519 0.08494664
0.0883128 0.02915122 0.09330187 0.1284327
159.4888 0.08251383 0.09064265 0.1263313
9.13381 0.05169893 0.03338845 0.1693052
0.4787625 0.06987408 0.05495399 0.09522256
0.06725078 0.1483083 0.07659242 0.1070675
7.133426 0.1145801 0.03962825 0.06106553
11.44115 0.1203284 0.08731196 0.1069698
4473.797 0.1083735 0.06058786 0.1653306
1723.308 0.1010875 0.1262645 0.08928376
0.1116842 0.03089839 0.1727322 0.09931149
8.105837e+17 0.2395289 0.0707018 0.0956119
633312.1 0.07153884 0.04168274 0.09896701
12082833046 0.04834518 0.08733209 0.106031
12.28103 0.06554195 0.06285075 0.0973309
5.152172 0.06025379 0.05746575 0.1284593
1410.078 0.03706445 0.04963442 0.1515374
3.213703 0.02270423 0.1258922 0.1210958
0.05804322 0.0421412 0.097819 0.1424247
9054108 0.06785439 0.1760053 0.1797499
0.6128281 0.2639267 0.156142 0.2063274
582.6346 0.0872372 0.04570684 0.1531645
1.875351 0.02308169 0.03010224 0.1541753
0.07892478 0.07852492 0.06193844 0.1705605
17.99844 0.05974517 0.09437908 0.2026571
3.489195 0.04080214 0.1089528 0.1118111
1452643 0.05543108 0.08322642 0.2574328
2821.402 0.0421653 0.03482401 0.1374708
1166.128 0.09985489 0.05565927 0.09214204
30.18742 0.05574513 0.3071147 0.08659797
0.4884615 0.03623523 0.04948329 0.1081845
13.37928 0.05404982 0.1069331 0.1300145
454.6192 0.08854416 0.102568 0.1553023
1.8482 0.03818157 0.04541611 0.2095078
266.0241 0.02594649 0.06023158 0.2469968
1.248826 0.0566545 0.08189483 0.09498723
0.5444022 0.05509565 0.1945656 0.08655166
17556152 0.1328026 0.1231546 0.1222072
1.813005e+12 0.02830833 0.1834552 0.1664341
3.152584 0.0556865 0.08507916 0.2114448
648.6351 0.02929963 0.1043614 0.1009017
3.061199 0.1168928 0.07944022 0.212931
3.510113 0.1255696 0.05577648 0.1501891
1.579976 0.01926156 0.1018861 0.1196113
821295.6 0.07307881 0.1212267 0.1845422
300.1679 0.30127 0.08191548 0.1426149
926.3675 0.02451257 0.1789839 0.1706174
10.09728 0.05107294 0.1571097 0.2011685
29.68975 0.03288477 0.03322123 0.113724
1176.537 0.02707334 0.254562 0.142748
6.746261 0.09305946 0.04958219 0.142886
7502.386 0.02377683 0.0823113 0.1011977
14705.44 0.05266495 0.1505107 0.1315439
410.9797 0.0257172 0.3774615 0.1004337
3909.8 0.06498497 0.2166345 0.1533869
1.31293e+17 0.1730335 0.1842228 0.2422381
4.527554 0.2212349 0.1477514 0.09546148
53561.55 0.02977232 0.05398336 0.1295394
214.462 0.1656915 0.06874396 0.110328
5305.667 0.04830023 0.07076587 0.09646764
26.90039 0.02971332 0.09599068 0.07512022
95.17598 0.2852205 0.05841019 0.1239286
4.511513 0.1249279 0.04413561 0.1256269
4.581007 0.171797 0.05580577 0.1015194
2.521046e+16 0.0927115 0.05935562 0.1094141
0.7990167 0.04418737 0.09710287 0.1233843
12258.13 0.03567754 0.05944706 0.1070466
0.8080677 0.03904695 0.1438253 0.07924768
308.643 0.1371264 0.05586719 0.09656979
28.30872 0.05792618 0.08519262 0.1305887
16319233 0.03720843 0.1766096 0.1090833
9.685103 0.01128955 0.1820088 0.09399894
