"res" "LCI" "UCI"
-0.313044034750956 -0.434888179364288 -0.203371629485723
-0.310730700382074 -0.431829801042859 -0.201185027028401
-0.308532330978326 -0.430438724387823 -0.199739751266952
-0.306298206539087 -0.427464730170045 -0.198233474153287
-0.303929975372239 -0.42522537606554 -0.195639212500545
-0.301462272375619 -0.422638737608205 -0.193349119764014
-0.298887420728241 -0.419105747138072 -0.191708006519616
-0.295980296414354 -0.416837290550109 -0.188146904381295
-0.293216242620895 -0.414930559457894 -0.186222099015192
-0.289999122236102 -0.409482957075453 -0.185116845404808
-0.28674342237873 -0.40530953306823 -0.182187439487518
-0.283767238114238 -0.402221222385555 -0.180724729261493
-0.280877006890249 -0.39876191638633 -0.177720933877396
-0.277878252239237 -0.394404423018475 -0.174772491336896
-0.27460216574491 -0.390286696925029 -0.172239768907981
-0.271495623601693 -0.386301779988424 -0.168468090347831
-0.26875595025033 -0.383285685581907 -0.165536668367235
-0.266153177209695 -0.381711506356445 -0.162661923088629
-0.263626078647532 -0.379225804529365 -0.15984110998786
-0.261328083015553 -0.377419395106463 -0.158147842475074
-0.259166186916054 -0.376079729347086 -0.155914574964853
-0.257348346803357 -0.373680287336042 -0.154480836949795
-0.255598429792576 -0.3729757366992 -0.151258063747605
-0.253996947291116 -0.371137282554288 -0.149424814845441
-0.252248857986271 -0.368466120099923 -0.147285984372738
-0.250225712626521 -0.365041206511975 -0.144605176594951
-0.247817828842611 -0.361043373455968 -0.143065885700292
-0.244576389730534 -0.35708770120234 -0.141237176019255
-0.241526651023621 -0.355470160916673 -0.137688562412993
-0.238434326482439 -0.351967099908875 -0.135054136350559
-0.235385215467028 -0.349181753162926 -0.133201608096529
-0.23259151247844 -0.347374291890103 -0.130728803315526
-0.22949726708001 -0.344964767486555 -0.127161450836247
-0.22679918604508 -0.342471523720766 -0.125227682963835
-0.224401268955721 -0.340701863578017 -0.122517001701314
-0.222094614468637 -0.338766181150268 -0.119690884654018
-0.219959522225628 -0.337241200725702 -0.1165950457637
-0.218049460698435 -0.335394995317152 -0.113396817884764
-0.216296483103118 -0.333027889884157 -0.111665390358811
-0.214584512505855 -0.330839654660627 -0.109612784931692
-0.212959921281334 -0.329701746256502 -0.107949883802007
-0.211168922827397 -0.327319230534406 -0.106191084367034
-0.20950877707041 -0.324134772084324 -0.104289166827249
-0.207734587090511 -0.322951360024196 -0.102882120466347
-0.205835021041024 -0.321108730996315 -0.101105966761179
-0.204014678315083 -0.319541047263371 -0.100401916762024
-0.202148026588112 -0.318640798362829 -0.0979074620944738
-0.200557802704896 -0.316853360332619 -0.0962852623125794
-0.198973692344676 -0.315488325364662 -0.0948847918535285
-0.197346491246509 -0.313438965340898 -0.0930696611921611
-0.195610659804256 -0.309335375357318 -0.0920291840825885
-0.193919135310231 -0.307125496824046 -0.0900250320460505
-0.192100252973301 -0.306342797832455 -0.0882549565015368
-0.190041869771814 -0.304338943558385 -0.0878961681437485
-0.18781154256013 -0.300519390686394 -0.0868546125888161
-0.185536267888402 -0.296411924017665 -0.0843745788697157
-0.182997261486517 -0.291841026985773 -0.0825480219571473
-0.179952764858425 -0.289333914430771 -0.0798059625475762
-0.17702732051932 -0.285823976545798 -0.0779725437068678
-0.174158438438033 -0.282147049424872 -0.0748536153858263
-0.171109396060417 -0.279772166660204 -0.072659300527412
-0.167954825584301 -0.277794732003154 -0.070894157622343
-0.165132779106753 -0.275163029287766 -0.0677275420356782
-0.161984878311623 -0.273692520673651 -0.0648699035151479
-0.159380648479592 -0.269644421111118 -0.0610759943900149
-0.156751083760194 -0.267358325507104 -0.0582421578084492
-0.154515224111371 -0.265904472815079 -0.0552603522979608
-0.152461263171084 -0.26411270157167 -0.052064934487083
-0.150532349037973 -0.261569281533677 -0.0494297061472097
-0.148689956774257 -0.260467302879669 -0.0482144038463798
-0.146744756346715 -0.256706810523421 -0.0472398735940748
