"beta1_1" "beta2_1" "beta1_2" "beta2_2"
19.14175 4.063718 -30.56739 -3.8814
18.09019 3.730235 -30.5578 -3.888784
18.33822 4.176027 -30.35955 -3.887546
17.80703 3.795016 -30.2752 -3.851446
18.23834 3.778871 -30.39759 -3.998737
18.12768 3.707058 -30.35918 -3.91986
18.0743 3.884464 -30.10302 -3.872269
18.35138 4.019704 -30.13577 -3.907933
18.26964 3.610914 -30.25455 -4.019937
18.20036 4.099681 -30.21374 -3.967213
19.11254 3.809798 -30.47131 -3.936537
19.31258 4.115776 -30.57578 -3.904337
19.47565 3.418391 -30.22916 -3.957681
19.26639 3.812088 -30.14975 -3.929088
19.23437 3.950835 -30.43685 -3.844157
18.56902 3.884271 -30.19876 -3.846993
18.7499 3.762342 -30.22665 -3.858671
17.99786 3.475712 -30.38458 -3.952839
18.49017 4.034975 -30.65342 -3.827366
18.16406 3.947773 -30.489 -3.838844
17.92075 4.032269 -30.34898 -3.884369
18.53588 4.096133 -30.1055 -3.898735
17.96369 4.002303 -30.32849 -3.927216
19.1891 4.089818 -30.1811 -3.946726
17.12625 3.889449 -30.25778 -3.887812
18.47328 3.988648 -30.41902 -3.884894
18.75015 4.047168 -30.21638 -3.905908
18.25029 3.942755 -30.27066 -3.954654
19.12545 3.663001 -30.07336 -3.908873
19.11319 3.794855 -30.6255 -3.911249
19.65981 3.559285 -30.36158 -3.940555
17.0499 3.441492 -30.17143 -3.964011
18.48742 4.05684 -30.2089 -3.936564
18.35309 3.775468 -30.21994 -3.898755
18.0947 3.62126 -30.21205 -3.903718
17.24293 4.184042 -30.18453 -3.948888
18.87462 3.45526 -30.3756 -4.010982
18.2714 3.72611 -30.19458 -3.917169
18.83814 4.082085 -31.30481 -3.796285
18.92424 3.461058 -30.66528 -3.928418
18.96382 4.045197 -30.40736 -3.902736
18.69625 3.504214 -30.50783 -3.923472
18.9717 4.296969 -30.25921 -3.85817
18.52413 3.58503 -30.20207 -3.94343
18.89389 3.616635 -30.43424 -3.961688
18.28193 4.152469 -30.49545 -3.850634
18.08431 3.673408 -30.36375 -3.899182
17.95895 3.590816 -30.53673 -3.905678
18.17023 3.926553 -30.40708 -3.911574
18.05767 3.697312 -30.39006 -3.933155
18.36744 3.625271 -30.13346 -3.903302
18.44357 3.395584 -30.4494 -3.873808
18.21846 4.031854 -30.20311 -3.865858
18.46938 3.537294 -30.30819 -3.911429
19.35892 3.462269 -30.38346 -3.887014
18.19995 3.457409 -30.37918 -3.853128
18.19106 4.115446 -30.30177 -3.955761
17.5225 3.640467 -30.404 -3.891527
18.29398 3.926129 -30.35494 -3.909329
18.96489 3.539728 -30.42115 -3.919286
18.71923 3.735379 -30.40881 -3.938522
18.05014 4.132976 -29.97576 -3.967464
18.30961 3.610656 -30.23866 -3.979053
18.49194 3.753447 -30.69691 -3.984348
17.99588 3.773605 -30.16101 -3.956093
18.71397 4.059663 -30.23529 -3.959367
18.85169 3.726106 -30.54589 -3.938644
17.54564 3.96762 -30.29684 -3.924709
18.59425 4.058046 -30.89242 -3.944318
18.52978 3.949272 -30.57912 -3.936147
18.55044 3.682552 -30.19349 -3.862568
18.29112 3.973335 -30.12061 -3.904475
17.6425 3.906956 -30.2263 -3.895587
19.44077 3.828396 -30.46362 -3.864986
18.15537 3.5987 -30.23341 -3.987732
19.75208 3.339127 -30.55289 -3.898711
18.0694 3.900331 -30.48352 -3.913916
18.51292 3.964692 -30.19176 -3.884471
18.2819 3.882736 -30.43661 -3.901439
18.72229 4.474788 -30.3301 -3.95258
18.29579 3.757911 -30.28366 -3.801038
18.46366 3.862611 -30.33913 -3.898246
18.00471 3.788084 -30.56225 -3.950478
18.09864 3.509455 -30.31255 -3.860639
18.52445 4.04898 -30.21242 -3.839534
18.12387 3.845243 -30.16018 -3.941818
19.85698 3.778487 -30.31791 -3.866578
19.88086 3.785685 -30.23361 -3.983059
18.40411 4.248171 -30.03166 -3.91819
18.42582 4.112409 -30.21116 -3.928871
18.19975 4.027285 -30.43812 -3.909779
