"p_1" "p_2" "p_3"
0.1798603 0.7681185 0.05202113
0.173428 0.7763414 0.05023063
0.1586366 0.7923656 0.04899773
0.1557714 0.7807569 0.06347172
0.1612132 0.7748304 0.06395649
0.1485602 0.7957372 0.0557026
0.1498647 0.7892709 0.06086439
0.1662491 0.7707908 0.06296017
0.1812437 0.7656675 0.0530888
0.1751523 0.7727984 0.05204927
0.12948 0.8142365 0.0562835
0.1529864 0.7935739 0.05343976
0.1742628 0.7875754 0.03816174
0.1685666 0.7687556 0.06267782
0.1574781 0.7954572 0.04706477
0.1532863 0.7787852 0.06792849
0.1777176 0.7586636 0.06361873
0.1675349 0.7790941 0.05337101
0.1606807 0.7902081 0.04911119
0.1564879 0.7798241 0.06368803
0.1554111 0.7885162 0.05607266
0.1651945 0.7667465 0.068059
0.172278 0.7862111 0.04151096
0.1576424 0.7775017 0.06485594
0.1649006 0.7683668 0.06673254
0.1624357 0.7957693 0.041795
0.1816386 0.7750881 0.04327323
0.1844941 0.763025 0.05248084
0.1441003 0.7827298 0.07316996
0.1415521 0.8009491 0.05749878
0.1623637 0.775261 0.06237521
0.15674 0.7866016 0.05665837
0.16412 0.7839781 0.05190185
0.1686642 0.7769187 0.05441719
