Delta_1 Delta_2 Delta_3 Delta_4 
0.09340388 0.9967707 1.293766 -11.40229 
0.8592321 0.9296015 -1.157908 -2.470686 
2.390836 1.065506 2.401094 10.2 
-4.574707 0.810694 0.4116367 4.501889 
-12.60067 1.024288 -1.471363 0.7813075 
-11.61068 0.9420937 -1.862457 -0.8435772 
-6.128606 0.7491788 -0.4482826 -0.7798923 
13.19438 0.9649454 2.713386 3.217517 
4.47267 0.877949 0.6381346 1.121266 
17.28129 0.7469586 -0.2389205 -1.851622 
5.520298 0.9633212 0.1401568 18.99102 
-5.743147 0.850835 -0.1706525 6.508744 
1.546788 0.6929822 0.9188945 4.289381 
12.06292 0.6850152 1.637886 10.83742 
1.523078 0.8418653 2.505766 -0.1616321 
0.5921174 0.9052448 4.920188 -1.935686 
1.099247 0.7397068 -1.836779 5.835145 
1.596378 0.7081239 1.074387 -2.209618 
-1.759799 0.6911334 1.156484 -0.1670006 
8.481397 0.6406842 -0.1528049 4.542826 
1.412827 0.7211003 0.9798906 -3.253676 
0.255948 0.6981774 -0.4642515 -15.26497 
0.8662523 0.8306711 -0.3077481 8.315638 
4.464754 0.9851872 -1.550133 -0.402421 
7.769087 0.8718005 0.2545141 -9.487092 
8.09959 0.8155079 -0.4914307 0.2081404 
7.58395 0.9053276 1.632318 12.90062 
-6.695888 0.8504144 1.284907 -6.461792 
-0.634962 1.043336 -1.750575 -24.48996 
-0.8181901 1.194655 1.995377 19.46766 
3.271171 0.9169815 1.287475 -11.11728 
1.461011 1.070996 1.52719 15.09406 
16.78304 0.6922236 3.177339 -1.047454 
-12.25565 0.8764211 -1.53577 8.553766 
3.404483 0.8900702 1.735328 13.14156 
-7.973932 1.030231 -0.3719894 0.8865458 
-5.140225 1.065497 -0.8326839 0.4216298 
12.05049 0.9646478 -0.7192255 2.848747 
-22.57888 0.8075082 -1.499635 0.5617247 
7.78488 0.9083927 -0.5525682 23.55356 
-15.3866 0.9948662 -0.0583054 6.144453 
-7.340488 0.7046103 -1.758251 -4.806057 
-14.88448 0.7654855 -1.891015 -2.636148 
-0.8293297 0.9058302 3.96118 -1.503827 
14.32515 0.9039284 2.077723 0.4604198 
-6.376146 0.9829126 2.169117 0.3502904 
9.558519 1.100235 0.8885874 0.0352837 
8.659942 1.124413 3.03222 -1.019985 
-18.43646 0.9335007 -0.3237365 0.128931 
-1.404483 0.9716513 1.7866 -0.3109401 
-4.00745 0.9573426 1.657438 -2.922278 
5.478441 0.9426939 0.4085194 9.188845 
0.3834065 0.9295097 1.635459 0.1937872 
-20.30415 0.9962025 -0.36999 2.457199 
0.5552735 0.9662045 -2.376661 1.791886 
8.219507 0.9719783 -3.4425 -1.557928 
2.431108 0.8522213 1.202671 3.445829 
5.891119 0.8921161 -3.480196 1.306645 
2.719927 1.238475 -3.387262 5.024554 
15.45126 1.202822 -4.652438 2.466827 
1.137225 0.8971922 -4.488599 -6.87854 
-4.199326 1.054966 -6.835813 6.797139 
5.011016 0.9768255 -6.296065 1.136174 
-0.8239412 0.9531745 -6.608578 4.472072 
3.226008 1.190463 6.583028 2.025294 
-0.9487697 1.105013 1.081026 5.687613 
-2.624875 1.033649 3.977 4.01493 
